step,MM-0_pnl,MM-0_inv,MM-0_nav,MM-1_pnl,MM-1_inv,MM-1_nav,TF-0_pnl,TF-0_inv,TF-0_nav,TF-1_pnl,TF-1_inv,TF-1_nav,MR-0_pnl,MR-0_inv,MR-0_nav,MR-1_pnl,MR-1_inv,MR-1_nav,LT-0_pnl,LT-0_inv,LT-0_nav,LT-1_pnl,LT-1_inv,LT-1_nav,SP-0_pnl,SP-0_inv,SP-0_nav,RL-0_pnl,RL-0_inv,RL-0_nav
30,-0.6200000000000003,0,-0.6200000000000003,-0.6200000000000003,0,-0.6200000000000003,695.8927864702276,-7,2.825157563995731,-0.023795897278181544,0,-0.023795897278181544,0.0,0,0.0,-198.88854636841927,2,-0.8692238237815673,796.2809453985775,-8,-0.7892252894133662,0.0,0,0.0,1991.3943260977776,-20,11.201100651400566,2193.2287769138247,-22,1.2858075218500744
31,-0.6400000000000003,0,-0.6400000000000003,-0.6400000000000003,0,-0.6400000000000003,695.8927864702276,-7,2.825157563995731,-0.023795897278181544,0,-0.023795897278181544,0.0,0,0.0,-198.88854636841927,2,-0.8692238237815673,796.2809453985775,-8,-0.8466836652454504,0.0,0,0.0,2090.510251191781,-21,11.307364473085272,2193.2287769138247,-22,1.1277969883117294
32,-0.6600000000000004,0,-0.6600000000000004,-0.6600000000000004,0,-0.6600000000000004,695.8927864702276,-7,2.825157563995731,-0.033795897278181546,0,-0.033795897278181546,0.0,0,0.0,-198.88854636841927,2,-0.8692238237815673,796.2809453985775,-8,-0.8980018372477616,0.0,0,0.0,2189.778210391101,-22,11.56566240008624,2193.2187769138245,-22,0.976672015305212
33,-0.6800000000000004,0,-0.6800000000000004,-0.6800000000000004,0,-0.6800000000000004,695.8927864702276,-7,2.825157563995731,-99.795861346542,1,-0.1391448437611018,0.0,0,0.0,-198.88854636841927,2,-0.8692238237815673,796.2809453985775,-8,-0.9727866236696627,0.0,0,0.0,2289.056687234724,-23,11.834477971390243,2293.173663407394,-23,1.0691838434336205
34,-0.7000000000000004,0,-0.7000000000000004,-0.7000000000000004,0,-0.7000000000000004,695.8927864702276,-7,2.4028208125936317,-99.795861346542,1,-0.13442191287694527,0.0,0,0.0,-198.88854636841927,2,-0.748556180523849,796.2809453985775,-8,-1.010570070742915,0.0,0,0.0,2289.056687234724,-23,10.446800073926624,2293.173663407394,-23,0.9605564330977359
35,-0.7200000000000004,0,-0.7200000000000004,-0.7200000000000004,0,-0.7200000000000004,695.8927864702276,-7,2.19327989933106,-99.795861346542,1,-0.12887109421610887,0.0,0,0.0,-198.88854636841927,2,-0.6886873481631142,796.2809453985775,-8,-1.0549766200296062,0.0,0,0.0,2289.046687234724,-23,9.748308501777956,2293.163663407394,-23,0.8228876038983799
36,-0.7400000000000004,0,-0.7400000000000004,-0.7400000000000004,0,-0.7400000000000004,695.8927864702276,-7,2.126116205354947,-99.795861346542,1,-0.12887109421610887,0.0,0,0.0,-198.88854636841927,2,-0.66949772131278,796.2809453985775,-8,-1.0549766200296062,0.0,0,0.0,2189.915497607873,-22,9.505962489701687,2393.2159299881955,-24,1.208163932374191
37,-0.7600000000000005,0,-0.7600000000000005,-0.7600000000000005,0,-0.7600000000000005,695.8927864702276,-7,2.296193502196161,-99.795861346542,1,-0.12052640165954642,0.0,0,0.0,-198.88854636841927,2,-0.7180912346959758,796.2809453985775,-8,-1.1217341604821058,0.0,0,0.0,2288.9547631147457,-23,9.994529076927847,2393.2159299881955,-24,1.0078913110169196
38,-0.7800000000000005,0,-0.7800000000000005,-0.7800000000000005,0,-0.7800000000000005,695.8827864702276,-7,2.35335719617251,-99.795861346542,1,-0.10951922632024491,0.0,0,0.0,-198.88854636841927,2,-0.7372808615463669,796.2809453985775,-8,-1.209791563196518,0.0,0,0.0,2387.9619527415957,-24,10.146766659121113,2393.2059299881953,-24,0.7337191028732377
39,-0.8000000000000005,0,-0.8000000000000005,-0.8000000000000005,0,-0.8000000000000005,794.8807864702277,-8,2.7671873540624574,-99.795861346542,1,-0.10951922632024491,0.0,0,0.0,-198.88854636841927,2,-0.8601465893779618,796.2809453985775,-8,-1.209791563196518,0.0,0,0.0,2486.9499527415956,-25,11.594955503579058,2493.335152939368,-25,1.176599933824491
40,-0.8200000000000005,0,-0.8200000000000005,-0.8200000000000005,0,-0.8200000000000005,794.8807864702277,-8,2.7671873540624574,-99.795861346542,1,-0.0933633143538799,0.0,0,0.0,-198.88854636841927,2,-0.8601465893779618,796.2809453985775,-8,-1.339038858927438,0.0,0,0.0,2387.926239020361,-24,11.585441671865738,2493.335152939368,-25,0.7727021346649963
41,-0.8400000000000005,0,-0.8400000000000005,-0.8400000000000005,0,-0.8400000000000005,794.8807864702277,-8,2.7671873540624574,-99.795861346542,1,-0.08753520239376655,0.0,0,0.0,-198.88854636841927,2,-0.8601465893779618,796.2809453985775,-8,-1.3856637546083448,0.0,0,0.0,2486.914239020361,-25,11.559241782344543,2493.325152939368,-25,0.616999335662058
42,-0.8600000000000005,0,-0.8600000000000005,-0.8600000000000005,0,-0.8600000000000005,794.8807864702277,-8,3.4005517177257616,-99.805861346542,1,-0.08632401270810419,0.0,0,0.0,-198.88854636841927,2,-1.018487680293788,796.2809453985775,-8,-1.4753532720936846,0.0,0,0.0,2585.902239020361,-26,13.591476074729599,2393.431172010764,-24,0.16227599875037413
43,-0.8800000000000006,0,-0.8800000000000006,-0.8800000000000006,0,-0.8800000000000006,794.8807864702277,-8,3.467295948954984,-199.72226465451732,2,-0.2808641277189565,0.0,0,0.0,-198.88854636841927,2,-1.0351737381010935,796.2809453985775,-8,-1.484656708615944,0.0,0,0.0,2684.818638799402,-27,13.798108290106484,2493.4739810298297,-25,0.45647444485030064
